Fold,Logistic Regression,SVM,Random Forest
Fold 1,0.5,0.45454545454545453,0.5909090909090909
Fold 2,0.6363636363636364,0.6363636363636364,0.7272727272727273
Fold 3,0.7727272727272727,0.7727272727272727,0.7272727272727273
Fold 4,0.5238095238095238,0.5714285714285714,0.6666666666666666
Fold 5,0.5714285714285714,0.5714285714285714,0.6666666666666666
